Cuenta,Contacto,Puesto,Celular,Correo_electronico,Stage,Visitas_Web,Emails_Abiertos,Llamadas_Realizadas,Presupuesto_Estimado,Sector,Tamaño_Empresa,Antiguedad_Cuenta_Meses,Interacciones_Totales,Cliente
"Turner, Ferrell and Irwin",Antonio Scott,Analista,084325621,jallen@example.com,qualifying,5,4,2,21210,Salud,Mediana,5,11,1
Wilson-Romero,Aaron Martinez,CEO,418730855,zacharycox@example.com,closing,6,0,0,8673,Salud,Grande,35,6,0
"Holden, Rose and Obrien",Christopher Hernandez,Analista,292583752,vargasamanda@example.com,selling,3,0,4,44605,Educación,Pequeña,24,7,0
"Pratt, Flores and Morton",Brandi Taylor,Analista,032920643,ydavis@example.org,closing,7,2,0,16612,Servicios,Mediana,18,9,0
"Smith, Lindsey and Martinez",Grace Garza,Consultor,456313858,taylorjon@example.net,closing,5,1,0,49163,Retail,Pequeña,2,6,0
Savage-Warren,Debbie Rivas,Analista,654235677,jmorrow@example.net,selling,3,1,0,44688,Salud,Grande,23,4,1
"Woodard, Miller and Schultz",Angela Parker,CEO,284387026,xryan@example.net,negotiating,5,5,0,44735,Retail,Mediana,44,10,0
"Williams, Williams and Jackson",Andrea Ortiz,Consultor,479134605,maryrollins@example.com,selling,5,3,0,47658,Salud,Mediana,39,8,0
Williamson and Sons,Michele Williams,Analista,903294569,brookssamantha@example.net,closing,4,2,0,43336,Manufactura,Pequeña,35,6,0
Crawford-Morrison,Kevin Clark,Gerente de Marketing,183488486,floresjames@example.net,selling,3,0,0,40909,Salud,Pequeña,1,3,0
Harris-Hatfield,Marc Hall,CEO,979227004,victorcampbell@example.com,selling,4,2,3,24593,Manufactura,Pequeña,2,9,0
Myers and Sons,Veronica Young,Ejecutivo de Ventas,122677700,dcortez@example.com,closing,2,1,0,7343,Educación,Pequeña,30,3,0
"Rogers, Shaffer and Brown",Cory Park,CTO,918932933,drew51@example.net,closing,3,0,1,9384,Servicios,Pequeña,43,4,0
Tyler-Johnson,Charlotte Taylor,Analista,118011040,nicholascherry@example.net,selling,4,2,0,21942,Retail,Mediana,6,6,0
"Miller, Rhodes and Smith",Robert Daniel,CEO,739847238,david87@example.org,qualifying,4,0,1,3583,Retail,Pequeña,25,5,0
Luna-Rogers,Michael Young,Gerente de Marketing,591423101,abryan@example.org,negotiating,6,4,3,43581,Salud,Mediana,29,13,0
Brooks-Hoffman,Joshua Rodriguez,CTO,640774593,dominique16@example.com,selling,0,3,0,5492,Educación,Mediana,30,3,0
Rocha-Larsen,Anthony Ibarra,Ejecutivo de Ventas,311381109,joshuarichards@example.com,qualifying,4,4,1,29349,Retail,Pequeña,9,9,0
Novak LLC,Michelle Garcia,CTO,424566572,lindsayfisher@example.org,negotiating,4,2,0,21702,Retail,Mediana,33,6,0
Aguirre Group,Mario Watkins,Consultor,393408535,johnhancock@example.net,selling,3,1,0,29084,Salud,Mediana,28,4,0
Thomas LLC,Joshua Anderson,Gerente de Marketing,331970949,gfarmer@example.org,selling,3,0,3,45460,Tecnología,Pequeña,2,6,0
"Waters, Norris and Schultz",David Arnold,Especialista de Producto,895526283,nathanswanson@example.com,selling,5,2,2,31523,Manufactura,Pequeña,23,9,0
"Adams, Salas and Blanchard",Jane Middleton,Ejecutivo de Ventas,517277532,vnguyen@example.com,selling,1,3,1,46334,Tecnología,Grande,12,5,0
Lewis-Shaffer,Timothy Newton,Gerente de Marketing,748309725,ccampbell@example.com,closing,0,0,1,13397,Tecnología,Mediana,19,1,0
"Baker, Hartman and King",Terri Jordan,Gerente de Marketing,860105234,daniel88@example.org,closing,6,0,0,41481,Retail,Mediana,36,6,0
Bennett-Anderson,Roger Reese,Analista,445384592,gholmes@example.com,closing,5,1,0,49233,Retail,Pequeña,8,6,0
"Cook, Harris and Randall",Matthew Phelps,Consultor,509462078,qrodriguez@example.org,negotiating,2,3,0,5871,Salud,Pequeña,18,5,0
"Mcconnell, Wilson and Davis",William Tran Jr.,Gerente de Marketing,655566593,miguelbarnes@example.net,selling,0,0,0,1413,Tecnología,Grande,14,0,0
Ward PLC,Kelsey Leach,Analista,393784087,cooperrichard@example.org,closing,2,1,4,34407,Educación,Pequeña,44,7,0
Cooper-Mccarthy,Terry Buck,Analista,961770012,hannah72@example.net,selling,5,0,0,31034,Educación,Pequeña,25,5,0
Cabrera-Zamora,Sean Long,CTO,468633213,jose63@example.com,qualifying,4,1,2,30761,Educación,Mediana,22,7,0
"Austin, Miller and Pierce",Thomas Jones,CTO,010336519,josebowers@example.com,qualifying,2,4,0,32522,Servicios,Pequeña,21,6,0
Gonzalez Ltd,Anthony Lucas,Analista,089334915,sharonbaker@example.com,closing,4,0,1,6815,Servicios,Pequeña,47,5,0
"Robinson, Townsend and Hopkins",Cory Hogan,Ejecutivo de Ventas,722005436,garciabrian@example.net,negotiating,4,1,2,44915,Educación,Mediana,25,7,1
Wilson LLC,Tanya Bender,Analista,438306572,fmccoy@example.org,negotiating,3,2,0,43038,Retail,Pequeña,46,5,0
Hamilton Group,Kelly Allen,CEO,775870894,dianebanks@example.com,closing,2,3,0,4439,Salud,Mediana,1,5,0
Pearson Inc,Ms. Crystal Atkinson,Especialista de Producto,419446881,wilkinsjeffrey@example.net,closing,2,2,0,42403,Manufactura,Grande,7,4,0
Lamb-Jensen,Christina Jacobson,Analista,628230880,xmiller@example.org,selling,8,1,1,18545,Tecnología,Mediana,21,10,0
Gonzalez-Jensen,Roger Reyes,Especialista de Producto,375042587,adawson@example.com,closing,0,0,0,27132,Manufactura,Pequeña,30,0,0
Sheppard Group,James Thompson,Analista,851387468,johnsonkenneth@example.net,negotiating,12,0,0,30694,Retail,Pequeña,29,12,0
Franklin PLC,Michelle Campbell,CEO,864795462,jbradford@example.com,qualifying,4,3,2,8549,Servicios,Mediana,10,9,0
Bradley Group,Mark Booker,Gerente de Marketing,937073485,tonya99@example.org,selling,0,2,2,37238,Retail,Mediana,16,4,0
"Cabrera, Duke and Smith",Susan Murphy,Ejecutivo de Ventas,138463366,davidmoore@example.org,negotiating,3,2,0,17860,Salud,Grande,38,5,0
Moore-Washington,April Thomas,CTO,523659971,zachary84@example.com,qualifying,8,0,1,48527,Salud,Grande,22,9,0
Reynolds Inc,Richard Moody,CTO,260284655,patrick86@example.com,closing,3,0,3,11759,Tecnología,Mediana,9,6,0
Santos-Rice,Daniel Rivera,CEO,212040784,johnsonjerry@example.com,closing,3,0,1,37092,Manufactura,Pequeña,39,4,0
Smith-Adams,Timothy Hernandez,Gerente de Marketing,710268532,fwilliams@example.net,selling,1,2,1,8833,Manufactura,Pequeña,30,4,0
Estrada-Wells,Keith Riley,Analista,447252744,lmorales@example.com,closing,2,0,1,4805,Tecnología,Mediana,30,3,0
Mcgee-Luna,Jaclyn Simon,CEO,528471670,thomas53@example.com,negotiating,3,0,1,27091,Manufactura,Pequeña,12,4,0
"Phillips, White and Morrison",Anna Suarez,Analista,874878016,toddgilbert@example.org,selling,2,0,0,48722,Servicios,Grande,41,2,0
Johnson Ltd,Alexis Phillips,CEO,519498861,helen43@example.org,selling,4,1,1,41070,Tecnología,Pequeña,43,6,0
Lee PLC,Robert Matthews,CEO,026501749,michelle24@example.net,qualifying,0,0,0,6109,Salud,Mediana,28,0,0
Combs-Todd,Brandon Perry,Gerente de Marketing,732792120,zacharymelendez@example.org,closing,6,4,0,16528,Tecnología,Mediana,16,10,0
"Kim, Wiley and Hicks",Jerry Ritter,Analista,483448662,caitlynthompson@example.org,closing,5,0,1,43865,Tecnología,Pequeña,4,6,0
Drake-Holder,Paula Erickson,CTO,903018620,madison28@example.org,negotiating,5,3,3,15970,Tecnología,Mediana,46,11,0
Simpson-Grimes,Bradley Evans,Especialista de Producto,305487291,alexander42@example.net,closing,6,3,1,33126,Manufactura,Pequeña,26,10,0
"Tanner, Hill and Rodriguez",James English,CTO,456338918,kathleen73@example.org,selling,2,1,0,28734,Manufactura,Pequeña,30,3,0
Gonzalez PLC,Tyler Cross,Consultor,579723354,dennisgina@example.net,closing,1,2,1,15738,Retail,Mediana,2,4,0
Cole-Jackson,Christopher Hall,CEO,681856773,clarkerika@example.org,closing,3,2,1,33353,Servicios,Pequeña,21,6,0
Crawford-Keith,Sydney Morris,Consultor,936406744,wphillips@example.com,closing,3,0,0,20471,Educación,Pequeña,25,3,0
Bennett-Carr,Joshua Dixon,Gerente de Marketing,636956766,lhickman@example.net,negotiating,5,2,0,24410,Manufactura,Pequeña,38,7,0
Torres Inc,Linda Schultz,CTO,831467620,lisa76@example.com,negotiating,4,1,1,9788,Retail,Pequeña,43,6,0
"Braun, Liu and Brooks",Rhonda Beck,Gerente de Marketing,693251959,foxaaron@example.com,selling,4,4,0,25601,Retail,Mediana,38,8,0
"Tran, Wells and Montoya",Robert Pacheco Jr.,Analista,781808571,iduke@example.net,selling,6,1,1,8405,Manufactura,Pequeña,29,8,0
Hart-Castillo,Miguel Gonzalez,CTO,008576665,ortizbenjamin@example.org,closing,5,0,3,25468,Retail,Grande,12,8,1
Small Ltd,April Robinson,CTO,624521247,sarah58@example.org,closing,5,2,2,98,Retail,Mediana,28,9,0
"Hall, Hobbs and Campbell",Terri Morgan,Gerente de Marketing,452750901,ricky08@example.net,closing,3,0,0,11116,Tecnología,Grande,25,3,0
"Graham, Alexander and Braun",Amanda Phillips,CTO,532683624,larrydaugherty@example.org,qualifying,5,0,0,29319,Retail,Pequeña,13,5,0
Anderson-Patterson,Catherine Fischer,Analista,845632014,juliecampbell@example.net,qualifying,4,1,1,36543,Retail,Pequeña,35,6,0
Rivera LLC,Jeffrey Cunningham,Especialista de Producto,151887869,julia03@example.org,closing,1,7,2,35602,Servicios,Grande,14,10,0
Lane and Sons,Jenny Taylor,Gerente de Marketing,387093421,adam58@example.com,qualifying,3,5,1,42450,Retail,Pequeña,9,9,0
Armstrong-Austin,Robin Brown MD,Gerente de Marketing,192665301,adamgreene@example.net,negotiating,4,5,3,14596,Manufactura,Pequeña,18,12,0
Hess PLC,Jason Valdez,Consultor,088281940,ojenkins@example.org,closing,2,2,0,49603,Servicios,Mediana,9,4,0
"Harvey, Thomas and Johnson",Robert Sullivan,Especialista de Producto,158866531,zdavis@example.net,selling,3,1,0,17021,Servicios,Mediana,21,4,0
Quinn-Schmidt,Karen Hernandez,Analista,140947102,cohendiana@example.com,qualifying,5,1,0,3589,Tecnología,Pequeña,33,6,0
Kennedy PLC,Matthew Caldwell,Ejecutivo de Ventas,809319342,kristen60@example.org,closing,3,2,1,41254,Tecnología,Mediana,36,6,0
Patterson LLC,Cody Ortiz,Analista,319814514,abigail20@example.com,closing,1,2,0,38472,Tecnología,Pequeña,10,3,0
"Colon, Herman and Sullivan",Lindsey Smith,Analista,986350252,allenmarc@example.org,selling,4,1,0,2218,Servicios,Mediana,20,5,0
"Erickson, Baker and Roth",Paul Jones,CTO,214981911,alvarezdeborah@example.org,qualifying,5,3,1,39134,Educación,Mediana,16,9,0
"Hall, Graves and Lewis",Angela Carpenter,Gerente de Marketing,644677698,pricemorgan@example.net,negotiating,3,3,3,39817,Educación,Pequeña,21,9,0
Chavez-Davis,Natalie Olson,Especialista de Producto,664310876,douglasstephens@example.com,selling,3,5,0,23932,Servicios,Pequeña,40,8,0
Finley and Sons,Joe Evans,Ejecutivo de Ventas,821295740,uwatkins@example.net,closing,5,2,1,23543,Educación,Pequeña,18,8,0
"Pearson, Flynn and Newman",Susan Smith,Gerente de Marketing,116041142,jensenmaria@example.org,negotiating,2,2,1,25249,Retail,Grande,9,5,0
"Hunt, Wagner and Madden",Arthur Haley,Consultor,779253688,ibarton@example.com,negotiating,8,1,0,8117,Salud,Pequeña,7,9,0
George-Montoya,Joseph Mcguire,Ejecutivo de Ventas,907781889,pricekenneth@example.net,selling,5,0,1,11097,Educación,Grande,37,6,0
Serrano-Mills,Scott Perez,Gerente de Marketing,074087492,williamsjacqueline@example.com,closing,2,1,0,32643,Educación,Mediana,9,3,0
"Hardy, Caldwell and Moreno",Steve Torres,Ejecutivo de Ventas,665241436,erikadillon@example.com,qualifying,1,0,1,3690,Servicios,Pequeña,27,2,0
Adams-Hull,Jennifer Simpson,CTO,158348126,cherylwashington@example.org,selling,5,2,0,47468,Retail,Pequeña,20,7,0
"Barry, Mendoza and Brock",Olivia Jordan,CEO,474947459,tgood@example.com,selling,0,1,0,24400,Manufactura,Grande,42,1,0
"Watson, Roberts and Johnson",Adam Phillips,Ejecutivo de Ventas,870451665,davidburke@example.net,selling,3,0,2,15935,Retail,Mediana,9,5,0
Lee-Reed,Kara Mcintyre,CTO,570223243,gregory64@example.net,qualifying,0,3,3,30840,Manufactura,Mediana,42,6,0
"Nguyen, Dodson and Walsh",Lindsey Cole,CTO,125395827,bensonelijah@example.com,closing,4,4,1,40286,Manufactura,Pequeña,40,9,0
"Gamble, Serrano and Sherman",Emily Gregory,Especialista de Producto,195096440,danielle52@example.org,closing,3,4,3,18982,Manufactura,Pequeña,36,10,0
Hall and Sons,Robert Mendez,CEO,288491622,ian00@example.net,qualifying,3,1,0,16280,Educación,Mediana,1,4,0
Morgan-Freeman,Erika Williams,Gerente de Marketing,073771188,lindsay12@example.com,selling,0,4,1,46829,Salud,Grande,41,5,0
Watts-Boyd,Gregory Cochran,Especialista de Producto,578873131,sara67@example.com,selling,0,2,0,20844,Salud,Pequeña,34,2,0
Miller-Haley,Joshua Shepherd,CEO,474690579,ashleycastillo@example.net,negotiating,4,2,0,12663,Educación,Pequeña,18,6,0
Orr-Jennings,Teresa Dudley,Consultor,584928664,mckenziegregory@example.com,negotiating,2,2,1,49601,Manufactura,Mediana,27,5,0
Bell Group,Steven Green,Consultor,811251354,marie28@example.com,negotiating,5,4,0,36361,Educación,Pequeña,2,9,0
"Porter, Herring and Ochoa",Brian Williams,Analista,946521663,clawson@example.com,qualifying,2,2,2,8984,Manufactura,Grande,8,6,0
"Fischer, Tyler and Hall",Aaron Jordan,Ejecutivo de Ventas,560897064,mitchelltaylor@example.net,qualifying,5,2,0,45531,Salud,Pequeña,4,7,0
"Beltran, Walker and Barry",Patricia Miller,CEO,925475639,crystal57@example.org,closing,4,2,4,37549,Servicios,Pequeña,29,10,0
Wallace Ltd,Vanessa Grant,Ejecutivo de Ventas,505338923,ahernandez@example.net,closing,5,3,0,42566,Salud,Mediana,36,8,0
Stevens-Johnson,William Maldonado,CEO,901497833,xvang@example.com,selling,2,2,2,10822,Servicios,Grande,19,6,0
"Smith, King and Moreno",Omar Robinson,Ejecutivo de Ventas,392574959,jeannejacobson@example.net,qualifying,4,2,0,37920,Retail,Pequeña,22,6,0
Erickson Ltd,Amy Morgan,CTO,321875631,dicksongregory@example.org,negotiating,1,1,0,37189,Servicios,Pequeña,42,2,0
"Adams, Hall and Diaz",Jessica Gardner,Consultor,989374048,mirandajoshua@example.net,closing,8,2,0,35590,Manufactura,Pequeña,38,10,0
"Clark, Sosa and Williams",Jacob Mitchell,Analista,461616788,christopherriley@example.net,qualifying,3,5,0,16805,Educación,Pequeña,46,8,0
"Nicholson, Miller and Castro",Tommy Nunez,CTO,448468089,richard32@example.net,negotiating,4,2,3,3177,Retail,Pequeña,43,9,0
"Woodward, Blair and Villanueva",Lindsay Dyer,CTO,025412205,dwright@example.com,qualifying,0,0,1,32435,Educación,Grande,1,1,0
"Thompson, Smith and Roberson",Dennis Dixon,Especialista de Producto,076570002,richard61@example.com,selling,3,3,1,42084,Salud,Mediana,42,7,0
"Rogers, Sellers and Faulkner",Michelle Davis,Gerente de Marketing,817790366,timothy81@example.net,qualifying,3,2,3,33950,Salud,Mediana,12,8,0
Gray PLC,Hannah Walton,Analista,539409575,derek38@example.com,closing,7,2,0,39180,Tecnología,Grande,13,9,0
Mitchell Group,Anthony Montgomery,Especialista de Producto,081372298,michaeltodd@example.com,selling,0,2,0,26769,Servicios,Mediana,6,2,0
Finley Ltd,Frank Gonzalez,CEO,469695753,ramirezdebra@example.net,selling,4,5,0,3441,Servicios,Grande,38,9,0
"Hall, Gomez and Lewis",Denise Rojas,Consultor,972794684,barrbrandon@example.org,selling,8,2,1,32420,Manufactura,Pequeña,46,11,0
Wallace-Ward,Henry Grant,Especialista de Producto,238798104,hensondaniel@example.net,qualifying,9,6,1,19772,Tecnología,Grande,21,16,0
Murphy-Combs,Jennifer Smith,Gerente de Marketing,708780886,brandon65@example.net,negotiating,3,0,0,5197,Educación,Pequeña,44,3,0
Scott-Kelly,Tammy Hardy,CEO,191745432,steven74@example.com,negotiating,2,3,0,24844,Retail,Mediana,6,5,0
Barron-Yu,Amanda Gray,Especialista de Producto,787635295,michael52@example.org,qualifying,2,1,0,23066,Tecnología,Pequeña,7,3,0
"Camacho, Wells and Keith",Blake Orr,Consultor,898992172,hendersonvanessa@example.com,selling,2,3,0,40696,Servicios,Mediana,6,5,1
"Mcconnell, Bishop and Anderson",Gregory Mejia,Ejecutivo de Ventas,003807104,marvin99@example.net,negotiating,1,2,0,40676,Tecnología,Grande,4,3,0
"Woods, Gonzalez and Strickland",Michael Gomez,Ejecutivo de Ventas,904568768,ustafford@example.net,negotiating,0,3,0,12891,Servicios,Mediana,22,3,0
"Nelson, Jones and Gray",Stacie Johnson,Especialista de Producto,299191089,matthewbrown@example.org,qualifying,2,1,2,5751,Retail,Pequeña,14,5,0
Ross LLC,Eric Smith,Gerente de Marketing,865891127,virginiabennett@example.org,qualifying,4,4,0,5363,Manufactura,Pequeña,11,8,0
Ryan LLC,Jacob Horton,CTO,402411607,qroberts@example.org,closing,3,5,2,29453,Retail,Mediana,37,10,0
Long-Bradley,Tiffany Harris,CEO,985535725,brittanyjacobs@example.org,negotiating,2,5,0,46409,Salud,Pequeña,10,7,0
Rivera Ltd,Nancy Walker,Consultor,208858166,georgeobrien@example.com,selling,5,4,0,33890,Tecnología,Pequeña,32,9,0
Tate PLC,Jennifer Erickson,Gerente de Marketing,496089472,brandon96@example.com,qualifying,2,3,0,20073,Salud,Mediana,40,5,0
Davis and Sons,Linda Jones,Ejecutivo de Ventas,753572324,erictaylor@example.com,closing,2,4,0,25420,Educación,Pequeña,47,6,0
Bailey PLC,Peter Butler,Consultor,416785304,deanna81@example.net,qualifying,3,0,0,16447,Servicios,Pequeña,29,3,0
Robertson-Wilson,Harry Golden,CEO,351128225,schneidermichael@example.com,qualifying,2,3,0,33577,Servicios,Mediana,19,5,0
Ferguson-Carney,Richard Jackson,CTO,305304761,kdiaz@example.net,closing,5,2,0,23131,Educación,Mediana,6,7,0
Brown-Alvarado,Mr. Michael Graham,CTO,177394302,annagreen@example.org,qualifying,4,0,2,41109,Tecnología,Mediana,28,6,0
"Acosta, Leon and Evans",Austin Webster III,Gerente de Marketing,151141655,mhill@example.org,negotiating,3,5,0,47109,Salud,Mediana,32,8,0
Campos-Castaneda,Erika Howard,Gerente de Marketing,450458194,sporter@example.net,selling,2,3,1,36497,Servicios,Pequeña,31,6,0
Johnson-Jackson,Jennifer Moon,Analista,469611286,ariascaleb@example.org,qualifying,0,5,0,30050,Servicios,Pequeña,27,5,0
Kelly-Johnson,Daniel Hardy,CTO,271466379,michellewilliams@example.net,closing,2,2,0,23133,Servicios,Pequeña,45,4,0
Davis-Bond,Andrea Reed,CEO,839660734,hthompson@example.com,negotiating,6,0,0,47153,Retail,Pequeña,45,6,0
Greene-Davis,Tammy Martin,Gerente de Marketing,392110184,nwalsh@example.com,qualifying,4,3,1,26396,Manufactura,Mediana,16,8,0
Wright and Sons,Jose Johnson MD,Especialista de Producto,475995368,vhart@example.net,selling,2,0,0,33411,Tecnología,Pequeña,11,2,0
"Estrada, Stone and Taylor",Sarah Patton MD,Ejecutivo de Ventas,262095229,kimberly16@example.com,negotiating,3,2,0,8685,Manufactura,Grande,25,5,0
Clayton-Woods,Paul Anthony,CEO,893495575,maryhenry@example.com,closing,2,0,0,33726,Servicios,Pequeña,23,2,0
Herrera Group,Lisa Barnett,Ejecutivo de Ventas,580549090,erik36@example.org,selling,4,2,0,15412,Salud,Pequeña,30,6,0
Smith Inc,Clinton Rogers,Consultor,368710773,samantha92@example.net,closing,1,3,2,52708,Tecnología,Mediana,24,6,0
Snyder-Gardner,Jeffrey Jacobs,Especialista de Producto,256597938,stevensonshannon@example.org,negotiating,7,1,0,14005,Salud,Pequeña,47,8,0
"Baker, Clark and Green",Alexis Thomas,Consultor,707186253,boydjennifer@example.net,closing,8,4,0,38317,Educación,Mediana,45,12,0
"Jackson, Rangel and Thomas",Lisa Gregory,Especialista de Producto,746806378,amyburton@example.org,closing,5,2,1,30415,Retail,Grande,10,8,0
Reynolds-Reeves,Christopher Mitchell,Especialista de Producto,398952296,craigsusan@example.org,negotiating,2,4,0,39721,Retail,Pequeña,21,6,0
Williams Group,Allen Warren,Especialista de Producto,675932497,jill70@example.net,qualifying,6,4,1,31090,Retail,Pequeña,5,11,0
"Smith, Smith and Harris",Rebecca King,Especialista de Producto,682122797,washingtonbobby@example.net,closing,9,1,0,34398,Servicios,Pequeña,20,10,0
"Cisneros, Black and Foley",Cynthia Shields,Ejecutivo de Ventas,806886495,dalton18@example.com,qualifying,4,2,2,17653,Tecnología,Pequeña,11,8,0
Fuentes Inc,Jeremy Smith,Especialista de Producto,432337052,harriswyatt@example.net,negotiating,5,2,0,3704,Manufactura,Mediana,33,7,0
Smith PLC,Randy Brown,Ejecutivo de Ventas,122746508,wareglenda@example.org,negotiating,7,4,1,21832,Manufactura,Pequeña,2,12,0
"Johnson, Price and Johnson",Wesley Fisher,CEO,010493351,maria06@example.org,qualifying,6,3,0,9803,Salud,Pequeña,9,9,0
Terry-Krueger,Shawn Douglas,Especialista de Producto,150024135,jonesclarence@example.org,qualifying,6,1,0,4353,Retail,Mediana,3,7,0
"Bates, Fry and Perez",Pamela Bowers DVM,Especialista de Producto,978441619,yolanda23@example.com,closing,0,1,0,20525,Manufactura,Mediana,46,1,0
Randall Group,James Watson,Analista,209688923,rachelbutler@example.org,closing,5,4,0,42086,Tecnología,Pequeña,42,9,0
"Peters, Hughes and Robinson",Destiny Murphy,Analista,862835197,xharrison@example.com,selling,0,1,0,44831,Salud,Pequeña,8,1,0
Moss and Sons,Donald Zuniga,Consultor,914388087,zacharyortiz@example.net,closing,1,2,1,12307,Manufactura,Pequeña,38,4,0
Bishop-Aguilar,Mary Craig,Gerente de Marketing,142302553,randy07@example.com,selling,1,3,0,23156,Manufactura,Pequeña,2,4,0
Zhang Ltd,Cheryl Willis,Especialista de Producto,304074198,uallen@example.net,closing,3,2,0,25064,Servicios,Grande,31,5,0
Hunter-Anderson,Erin Hayes,Ejecutivo de Ventas,352661651,jmartin@example.org,closing,2,2,0,49151,Manufactura,Grande,23,4,0
"Parker, Cooper and Klein",Samantha Carter,Analista,823164772,mark73@example.org,selling,0,2,0,16184,Manufactura,Pequeña,39,2,0
"Barnett, Sanders and Aguirre",Amanda Guerra,Ejecutivo de Ventas,850050244,amber25@example.org,closing,2,3,0,20766,Servicios,Mediana,22,5,0
Reese and Sons,Richard Castillo,Consultor,569824488,davidbaker@example.org,qualifying,3,1,1,21149,Servicios,Grande,23,5,0
"Morrow, Wilson and Anderson",Aaron Payne,Ejecutivo de Ventas,968557388,roberthuerta@example.org,selling,4,3,0,12605,Manufactura,Pequeña,5,7,0
"Branch, Hayes and Cole",Olivia Smith,Gerente de Marketing,072371639,owheeler@example.com,selling,2,0,0,14782,Tecnología,Pequeña,44,2,0
Gray Inc,Ashley Scott,Consultor,542956050,veronica77@example.com,qualifying,3,0,0,36867,Tecnología,Pequeña,13,3,0
"Odom, Mcguire and Walters",Andrew Sharp,CTO,536562431,shannonfreeman@example.org,negotiating,1,4,1,40732,Retail,Mediana,26,6,0
Hernandez-Valdez,Steven Thomas,Consultor,615965439,pattersonrobert@example.net,qualifying,2,3,1,24575,Salud,Mediana,42,6,0
Curry Ltd,Edgar Floyd,Ejecutivo de Ventas,554811584,johnturner@example.com,closing,1,4,0,36027,Tecnología,Grande,46,5,0
"Wells, Parker and Martinez",Jonathan Bennett,CTO,745871929,uvalencia@example.org,closing,7,5,0,8642,Salud,Pequeña,17,12,0
Davis LLC,Julie Warner,CEO,763938241,rguzman@example.com,selling,0,4,1,16428,Salud,Pequeña,39,5,0
Perez PLC,Michael Arias,Especialista de Producto,081440350,jwilson@example.org,qualifying,5,3,0,49582,Manufactura,Mediana,16,8,0
Osborn-Reed,Shannon Knight DDS,CEO,256062953,plin@example.org,closing,9,2,2,50512,Educación,Pequeña,4,13,1
Alvarado-Lewis,Duane Baxter,Ejecutivo de Ventas,626090086,reillystephanie@example.org,selling,8,5,0,1473,Salud,Pequeña,16,13,0
Wiley LLC,Mark Henderson,CEO,284457524,murrayroberta@example.com,closing,4,4,0,31533,Tecnología,Mediana,27,8,0
Newman Ltd,Corey Silva,Gerente de Marketing,472530972,turnerjane@example.org,qualifying,3,1,2,1073,Salud,Pequeña,15,6,0
Evans and Sons,Barbara Adams,Especialista de Producto,980460653,bjenkins@example.org,negotiating,4,2,0,11613,Tecnología,Pequeña,13,6,0
Washington LLC,Beth Mejia,Gerente de Marketing,404631475,sandovalcory@example.com,qualifying,1,5,0,31042,Tecnología,Pequeña,43,6,0
Kim-Norris,Linda Fisher,Consultor,720007262,goodmanzachary@example.org,closing,0,4,0,6286,Educación,Pequeña,27,4,0
Walters-Edwards,Sean Davis MD,Gerente de Marketing,787997085,mullenjessica@example.net,negotiating,7,3,0,44947,Tecnología,Grande,6,10,0
Jones Ltd,Amy Pena,Gerente de Marketing,845037022,ksutton@example.org,selling,5,0,0,19144,Tecnología,Pequeña,42,5,0
"Ramos, Brown and White",Donald Torres,Gerente de Marketing,143704342,russellwilson@example.com,closing,2,0,1,2773,Retail,Mediana,34,3,0
Gibson PLC,Michael Durham,Especialista de Producto,391878519,ashleyhernandez@example.com,closing,5,3,0,17022,Salud,Mediana,26,8,1
Brown and Sons,Steve Carter Jr.,Consultor,986467071,troy12@example.net,closing,3,2,1,37110,Salud,Mediana,1,6,0
"Owen, Shaw and Gilbert",Annette Singh,Analista,279772663,whitesara@example.com,selling,1,2,0,2808,Manufactura,Mediana,35,3,0
Turner LLC,Kristin Myers,Ejecutivo de Ventas,163299522,brownjohn@example.net,negotiating,0,1,2,45714,Educación,Mediana,24,3,0
Rodriguez-Martin,Benjamin Sosa,CEO,437926223,michaelscott@example.com,closing,2,2,2,16136,Servicios,Pequeña,47,6,0
Jacobs Ltd,Gary Davis,CEO,997616667,fduran@example.net,negotiating,1,4,1,46646,Tecnología,Grande,27,6,0
Robinson-Pruitt,Melissa Perez,Consultor,944153239,briansimmons@example.org,closing,2,5,0,26620,Salud,Mediana,3,7,0
"Camacho, Campbell and Mcintosh",Sonya Smith,CTO,965178189,darlene16@example.org,qualifying,6,1,0,23545,Educación,Grande,29,7,0
Wise-Lawrence,Jason Walker,Analista,657649839,cruzthomas@example.org,qualifying,2,1,0,37386,Retail,Pequeña,41,3,0
"Miller, Moore and Hansen",Erica Stewart,Gerente de Marketing,180264762,forbestimothy@example.org,negotiating,7,0,0,2535,Tecnología,Pequeña,3,7,0
Jordan-Ferguson,Christopher Bryant,Gerente de Marketing,088963778,cshaw@example.org,closing,2,2,2,37785,Servicios,Grande,35,6,0
Ramirez-Jackson,Connie Carter,CTO,066676562,cody76@example.com,qualifying,0,1,0,25657,Salud,Pequeña,12,1,0
"Baker, Rivera and Johnson",Kyle Pena,Analista,921768906,sharonsmith@example.com,closing,4,0,0,12488,Tecnología,Pequeña,40,4,0
Spencer and Sons,Mrs. Deborah Guzman,Gerente de Marketing,603849147,castrosandra@example.com,closing,4,1,0,28827,Manufactura,Pequeña,12,5,0
Fuentes PLC,Robert Williams,Especialista de Producto,625094666,mayerrachael@example.com,qualifying,6,1,1,33823,Manufactura,Pequeña,35,8,0
